#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-22T21:01:16 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-22T21:01:16	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/257/43/galaxies&-out.max=150&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22570043
#Name: J/ApJS/257/43
#Title: PHANGS-ALMA: arcsecond CO(2-1) imaging of galaxies (Leroy+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/apjs/257/43	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/257/43	    IVOID of underlying data collection
#INFO	creator=Leroy A.K.	    First author or institution
#INFO	cites=bibcode:2021ApJS..257...43L	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/257/43	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22570043	    Dataset identifier that can be used for citation
#INFO	publication_date=2022-06-13	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_257_43_galaxies:
#Name: J/ApJS/257/43/galaxies
#Title: PHANGS-ALMA physical properties and cube properties for the 90 star-forming galaxies (Tables 3, 4 and 16)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	f_Name	(A1)	X=Galaxy is an extension to the main sample	[ucd=meta.code]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000) (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000) (1)	[ucd=pos.eq.dec;meta.main]
#Column	vlsr	(F6.1)	[-226/2389] Mean velocity relative to LSR (2)	[ucd=phys.veloc;pos.lsr]
#Column	e_vlsr	(F4.1)	[1.3/33.1] Uncertainty in vlsr (2)	[ucd=stat.error;phys.veloc;pos.lsr]
#Column	PA	(F5.1)	[-14.8/359.1] Orientation, position angle (2)	[ucd=pos.posAng]
#Column	e_PA	(F4.1)	[0.1/10] Uncertainty in PA (2)	[ucd=stat.error]
#Column	i	(F4.1)	[8.9/90] Orientation, inclination (2)	[ucd=pos.posAng]
#Column	e_i	(F4.1)	[0.2/43.4] Uncertainty in i (2)	[ucd=stat.error]
#Column	Dist	(F5.2)	[2/23.6] Distance	[ucd=pos.distance]
#Column	e_Dist	(F5.2)	[0.09/6] Uncertainty in Dist	[ucd=stat.error]
#Column	r_Dist	(A5)	References for Dist (3)	[ucd=meta.ref;pos.frame]
#Column	logMstar	(F5.2)	[9.18/11.15] Log of stellar mass	[ucd=phys.mass]
#Column	f_logMstar	(A1)	Source for logMstar (4)	[ucd=meta.code]
#Column	r25	(F4.1)	[3.4/34.2] RC3 25th mag isophotal B-band radius (5)	[ucd=phys.size.radius]
#Column	Re	(F4.1)	[0.9/7.3] Estimated half-mass radius	[ucd=phys.size.radius]
#Column	lstar	(F4.1)	[0.7/13.1] Stellar scale length	[ucd=src.morph.scLength]
#Column	logSFR	(F5.2)	[-1.59/1.64] Log of star formation rate	[ucd=phys.SFR]
#Column	f_logSFR	(A6)	Source for logSFR (6)	[ucd=meta.code]
#Column	l_logLCO	(A1)	Upper limit flag for logLCO (7)	[ucd=meta.code.error]
#Column	logLCO	(F5.2)	[6.61/9.49]? Log of CO luminosity	[ucd=phys.luminosity;em.line.CO]
#Column	Corr	(F5.2)	[0.97/4.24]? Correction factor	[ucd=instr.param]
#Column	logMHI	(F5.2)	[7.4/10.31]? Log of HI mass	[ucd=phys.mass]
#Column	Arrays	(A9)	Best available array combination	[ucd=instr.param]
#Column	Res1	(F5.2)	[0.6/8.7] Angular resolution of native cube	[ucd=pos.angResolution]
#Column	Res2	(F5.1)	[26.2/588.6] Physical resolution	[ucd=pos.angResolution]
#Column	Area1	(F4.1)	[0.7/98.7] Angular area mapped	[ucd=phys.angArea]
#Column	Area2	(F5.1)	[8.1/396.8] Physical area mapped	[ucd=phys.area]
#Column	Noise1	(I3)	[18/366] Noise in surface brightness, Native resolution in mK	[ucd=stat.snr]
#Column	Noise2	(I3)	[13/114]? Noise in surface brightness, 150pc	[ucd=stat.snr]
#Column	Noise3	(F5.1)	[1.3/128.1] Noise in surface brightness, Native resolution in mJy/beam	[ucd=instr.det.noise]
#Column	Comp1	(F4.1)	[1.7/97] Completeness, Native resolution (8)	[ucd=meta.note]
#Column	f_Comp1	(A1)	F=Faint galaxy, completeness is unreliable	[ucd=meta.code]
#Column	Comp2	(F5.1)	[0.9/180]? Completeness, 150pc (8)	[ucd=meta.note]
#Column	f_Comp2	(A1)	F=Faint galaxy, completeness is unreliable	[ucd=meta.code]
#Column	S4G	(I3)	Display data from Sheth+, 2010, J/PASP/122/1397	[ucd=meta.ref.url]
#Column	L19	(I3)	Display data from Leroy+, 2019, J/ApJS/244/24	[ucd=meta.ref.url]
#Column	Ntot	(I3)	Number of total power observations for this target (link to Table 11)	[ucd=meta.number]
#Column	N7m	(I3)	Number of 7m observations for this target (link to Table 12)	[ucd=meta.number]
#Column	N12m	(I3)	Number of 12m observations for this target (link to Table 13)	[ucd=meta.number]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	VizieR added column, not part of original data	[ucd=meta.ref.url]
recno	Name	f_Name	RAJ2000	DEJ2000	vlsr	e_vlsr	PA	e_PA	i	e_i	Dist	e_Dist	r_Dist	logMstar	f_logMstar	r25	Re	lstar	logSFR	f_logSFR	l_logLCO	logLCO	Corr	logMHI	Arrays	Res1	Res2	Area1	Area2	Noise1	Noise2	Noise3	Comp1	f_Comp1	Comp2	f_Comp2	S4G	L19	Ntot	N7m	N12m	Simbad	NED	LEDA
      15	NGC1433   	 	03 42 01.5	-47 13 19	1057.4	 5.0	199.7	 0.3	28.6	 6.0	18.63	 1.84	    8	10.87	I	16.8	 4.3	 6.9	 0.05	FUVW4 	 	 8.47	 1.38	 9.40	12m+7m+TP	 1.10	 99.1	11.8	346.0	119	 76	  6.2	51.9	 	 57.3	 	  1	  1	 24	  8	  2	Simbad	NED	LEDA
      16	NGC1511   	 	03 59 36.6	-67 38 02	1331.0	 5.0	297.0	 2.1	72.7	 1.2	15.28	 2.26	    2	 9.92	I	 8.2	 2.4	 1.7	 0.35	FUVW4 	 	 8.22	 1.09	 9.57	12m+7m+TP	 1.45	107.1	 3.6	 71.2	 67	 45	  6.0	75.6	 	 81.0	 	  1	  1	  7	  3	  1	Simbad	NED	LEDA
      17	NGC1512   	 	04 03 54.1	-43 20 55	 871.4	 5.0	261.9	 4.2	42.5	 6.0	18.83	 1.86	    8	10.72	I	23.1	 4.8	 6.2	 0.11	FUVW4 	 	 8.26	 1.45	 9.88	12m+7m+TP	 1.03	 94.5	 7.9	235.5	120	 70	  5.5	46.6	 	 53.1	 	  1	  1	 12	  4	  2	Simbad	NED	LEDA
      18	NGC1546   	 	04 14 36.3	-56 03 39	1243.8	 5.0	147.8	 0.4	70.3	 0.6	17.69	 2.02	    7	10.37	I	 9.5	 2.2	 2.1	-0.08	FUVW4 	 	 8.44	 1.13	 8.68	12m+7m+TP	 1.28	109.6	 2.8	 73.9	 62	 41	  4.4	88.4	 	 91.6	 	  1	  1	  5	  2	  2	Simbad	NED	LEDA
      19	NGC1559   	 	04 17 36.6	-62 47 00	1275.2	 5.0	244.5	 3.0	65.4	 8.4	19.44	 0.45	    9	10.37	I	11.8	 3.9	 2.4	 0.60	NUVW4 	 	 8.66	 1.11	 9.52	12m+7m+TP	 1.25	117.5	 6.8	217.6	 88	 66	  5.9	60.8	 	 64.5	 	  0	  0	 11	  6	  2	Simbad	NED	LEDA
      20	NGC1566   	 	04 20 00.4	-54 56 17	1483.3	 5.0	214.7	 4.1	29.5	10.6	17.69	 2.02	    7	10.79	I	18.6	 3.2	 3.9	 0.66	FUVW4 	 	 8.89	 1.22	 9.80	12m+7m+TP	 1.25	107.6	11.9	314.3	 90	 64	  6.1	81.1	 	 92.3	 	  1	  1	 29	 10	  2	Simbad	NED	LEDA
      21	NGC1637   	 	04 41 28.2	-02 51 29	 698.9	 1.6	 20.6	10.0	31.1	 5.0	11.70	 1.01	   10	 9.95	I	 5.4	 2.8	 1.8	-0.20	W4ONLY	 	 7.98	 1.10	 9.20	12m+7m+TP	 1.39	 78.9	 6.2	 71.7	 36	 17	  3.0	77.0	 	 83.5	 	  1	  1	  9	  5	  4	Simbad	NED	LEDA
      22	NGC1672   	 	04 45 42.5	-59 14 50	1318.3	 5.0	134.3	 0.4	42.6	12.9	19.40	 2.93	  3,4	10.73	I	17.4	 3.4	 5.8	 0.88	FUVW4 	 	 9.05	 1.25	10.21	12m+7m+TP	 1.93	181.7	 8.1	258.2	 85	   	 13.7	72.8	 	     	 	  1	  1	 10	  3	  1	Simbad	NED	LEDA
      23	NGC1809   	 	05 02 05.0	-69 34 05	1290.4	 5.0	138.2	 8.9	57.6	23.6	19.95	 5.63	    2	 9.77	I	10.9	 4.5	 2.4	 0.76	NUVW4 	 	 7.49	 4.24	 9.60	12m+7m+TP	 1.41	136.0	 2.4	 79.4	 96	 86	  8.2	32.3	F	 33.2	F	  1	  1	  2	  2	  1	Simbad	NED	LEDA
      24	NGC1792   	 	05 05 14.3	-37 58 50	1175.9	 5.0	318.9	 0.9	65.1	 1.1	16.20	 2.44	  3,4	10.62	I	13.1	 4.1	 2.4	 0.57	FUVW4 	 	 8.95	 1.11	 9.25	12m+7m+TP	 1.92	150.9	 9.1	203.0	 46	 46	  7.3	88.5	 	 88.5	 	  0	  1	 13	  8	  3	Simbad	NED	LEDA
      25	NGC2090   	 	05 47 01.9	-34 15 02	 898.2	 5.0	192.5	 0.6	64.5	 0.2	11.75	 0.84	   11	10.04	W	 7.7	 1.9	 1.7	-0.39	FUVW4 	 	 7.67	 1.47	 9.37	12m+7m+TP	 1.30	 73.8	 3.0	 35.6	 99	 52	  7.2	60.4	 	 66.7	 	  0	  1	  6	  2	  1	Simbad	NED	LEDA
      26	NGC2283   	 	06 45 52.8	-18 12 39	 821.9	 5.0	 -4.1	 1.0	43.7	 3.6	13.68	 2.06	  3,4	 9.89	W	 5.5	 3.2	 1.9	-0.28	W4ONLY	 	 7.69	 1.16	 9.70	12m+7m+TP	 1.31	 87.0	 5.4	 85.4	 84	 51	  6.2	34.5	 	 36.5	 	  0	  1	  9	  4	  1	Simbad	NED	LEDA
      27	NGC2566   	 	08 18 45.6	-25 29 58	1609.6	 5.0	312.0	 2.0	48.5	 6.0	23.44	 3.53	    7	10.71	W	14.5	 5.1	 4.0	 0.93	W4ONLY	 	 9.06	 1.13	 9.37	12m+7m+TP	 1.28	145.3	 6.8	317.1	 88	 88	  6.2	74.7	 	 74.7	 	  0	  1	 10	  5	  1	Simbad	NED	LEDA
      28	NGC2775   	 	09 10 20.1	+07 02 17	1339.2	 5.0	156.5	 0.1	41.2	 0.6	23.15	 3.49	  3,4	11.07	I	14.3	 4.6	 4.1	-0.06	FUVW4 	 	 8.40	 1.29	 8.65	12m+7m+TP	 1.09	122.6	 5.5	248.0	134	108	  6.9	27.7	 	 33.0	 	  1	  1	  4	  4	  1	Simbad	NED	LEDA
      29	NGC2835   	 	09 17 52.9	-22 21 17	 867.3	 5.0	  1.0	 1.0	41.3	 5.3	12.22	 0.93	    5	10.00	W	11.4	 3.3	 2.2	 0.10	FUVW4 	 	 7.71	 1.72	 9.48	12m+7m+TP	 0.84	 50.0	 7.9	 99.4	239	 74	  7.4	19.2	 	 25.8	 	  0	  1	 11	  4	  2	Simbad	NED	LEDA
      30	NGC2903   	 	09 32 10.1	+21 30 03	 547.0	 5.0	203.7	 2.0	66.8	 3.1	10.00	 1.99	2,3,4	10.64	I	17.4	 3.7	 3.5	 0.49	FUVW4 	 	 8.76	 1.18	 9.54	12m+7m+TP	 1.45	 70.5	15.5	131.4	 71	 37	  6.6	78.1	 	 83.7	 	  0	  1	 33	 18	  7	Simbad	NED	LEDA
      31	NGC2997   	 	09 45 38.8	-31 11 28	1076.9	 5.0	108.1	 0.7	33.0	 9.0	14.06	 2.80	    7	10.73	W	21.0	 6.1	 4.0	 0.64	FUVW4 	 	 8.97	 1.25	 9.86	12m+7m+TP	 1.77	120.5	19.0	318.1	 42	 32	  5.7	78.3	 	 80.9	 	  0	  1	 34	 15	  9	Simbad	NED	LEDA
      32	NGC3059   	 	09 50 08.2	-73 55 20	1236.5	 5.0	-14.8	 2.9	29.4	11.0	20.23	 4.04	    7	10.38	W	11.2	 5.0	 3.2	 0.38	W4ONLY	 	 8.59	 1.07	 9.75	12m+7m+TP	 1.22	119.9	 7.5	259.3	 95	 75	  6.1	58.6	 	 61.9	 	  0	  1	 10	 10	  2	Simbad	NED	LEDA
      33	NGC3137   	 	10 09 07.5	-29 03 51	1086.6	 5.0	 -0.3	 0.5	70.3	 1.2	16.37	 2.34	    7	 9.88	W	13.2	 4.1	 3.0	-0.30	FUVW4 	 	 7.60	 1.35	 9.68	12m+7m+TP	 1.51	120.0	 3.4	 76.2	 62	 45	  6.1	54.0	 	 59.4	 	  0	  1	  5	  2	  1	Simbad	NED	LEDA
      34	NGC3239   	 	10 25 04.9	+17 09 49	 748.3	 3.2	 72.9	10.0	60.3	 5.0	10.86	 1.05	   12	 9.18	I	 5.7	 3.1	 2.0	-0.41	FUVW4 	<	 6.62	 1.54	 9.16	12m+7m+TP	 1.28	 67.5	 2.9	 28.5	132	 73	  9.4	 1.7	F	  0.9	F	  0	  1	  4	  3	  1	Simbad	NED	LEDA
      35	NGC3351   	 	10 43 57.8	+11 42 13	 774.7	 5.0	193.2	 2.0	45.1	 6.0	 9.96	 0.33	    6	10.37	I	10.5	 3.0	 2.1	 0.12	FUVW4 	 	 8.13	 1.55	 8.93	12m+7m+TP	 1.46	 70.7	 7.8	 65.2	108	 46	 10.0	60.2	 	 71.7	 	  1	  1	  8	  2	  1	Simbad	NED	LEDA
      36	NGC3489   	X	11 00 18.6	+13 54 04	 692.1	 3.1	 70.0	10.0	63.7	 5.0	11.86	 1.63	 2,13	10.29	I	 5.9	 1.3	 1.4	-1.59	FUVW4 	 	 6.89	 1.37	 7.40	12m+7m+TP	 0.75	 42.9	 0.7	  8.1	100	 27	  2.4	50.1	F	 58.4	F	  1	  1	  4	  5	  1	Simbad	NED	LEDA
      37	NGC3511   	 	11 03 23.8	-23 05 12	1096.7	 5.0	256.8	 0.8	75.1	 2.2	13.94	 2.10	  3,4	10.03	I	12.2	 4.4	 2.4	-0.09	FUVW4 	 	 8.15	 1.07	 9.37	12m+7m+TP	 1.80	121.5	 6.4	105.0	 44	 34	  6.1	75.4	 	 77.5	 	  1	  1	  6	  5	  2	Simbad	NED	LEDA
